city,city_ascii,lat,lng,country,iso2,iso3,admin_name,capital,population,id
Manzini,Manzini,-26.495,31.388,Swaziland,SZ,SWZ,Manzini,admin,110537,1748177431
Mzuzu,Mzuzu,-11.46,34.02,Malawi,MW,MWI,,,110201,1454525586
Bouïra,Bouira,36.3805,3.9,Algeria,DZ,DZA,Bouira,admin,110144,1012006499
Lichinga,Lichinga,-13.3,35.24,Mozambique,MZ,MOZ,Niassa,admin,109839,1508041628
Kandi,Kandi,11.1304,2.94,Benin,BJ,BEN,Alibori,admin,109701,1204875413
Soubré,Soubre,5.7904,-6.61,Côte D’Ivoire,CI,CIV,Bas-Sassandra,,108933,1384162809
Mopti,Mopti,14.49,-4.18,Mali,ML,MLI,Mopti,admin,108456,1466352252
Mascara,Mascara,35.4004,0.14,Algeria,DZ,DZA,Mascara,admin,108230,1012738269
Birnin Kebbi,Birnin Kebbi,12.4504,4.1999,Nigeria,NG,NGA,Kebbi,admin,108164,1566191812
En Nuhud,En Nuhud,12.6904,28.42,Sudan,SD,SDN,Western Kordofan,,108008,1729223651
Shinyanga,Shinyanga,-3.6596,33.42,Tanzania,TZ,TZA,Shinyanga,admin,107362,1834972707
Ilebo,Ilebo,-4.3196,20.61,Congo (Kinshasa),CD,COD,Kasaï,,107093,1180788280
Azare,Azare,11.6804,10.19,Nigeria,NG,NGA,Bauchi,minor,105687,1566322480
Assab,Assab,13.01,42.73,Eritrea,ER,ERI,Debubawī K’eyih Bahrī,admin,105496,1232396238
Queenstown,Queenstown,-31.8996,26.88,South Africa,ZA,ZAF,Eastern Cape,,105309,1710110028
Kongolo,Kongolo,-5.3795,26.98,Congo (Kinshasa),CD,COD,Tanganyika,,105202,1180814807
Koutiala,Koutiala,12.3904,-5.47,Mali,ML,MLI,Sikasso,minor,104927,1466253368
Mmabatho,Mmabatho,-25.83,25.61,South Africa,ZA,ZAF,North West,,104428,1710524815
Adigrat,Adigrat,14.2804,39.47,Ethiopia,ET,ETH,Tigray,,104021,1231492773
Abengourou,Abengourou,6.7304,-3.49,Côte D’Ivoire,CI,CIV,Comoé,admin,104020,1384295898
Kroonstad,Kroonstad,-27.66,27.21,South Africa,ZA,ZAF,Free State,,103992,1710508288
EdDamer,EdDamer,17.59,33.96,Sudan,SD,SDN,River Nile,admin,103941,1729791168
Loubomo,Loubomo,-4.1796,12.67,Congo (Brazzaville),CG,COG,Niari,admin,103894,1178045241
Matruh,Matruh,31.3504,27.23,Egypt,EG,EGY,Maţrūḩ,admin,103470,1818661611
Bethal,Bethal,-26.4696,29.45,South Africa,ZA,ZAF,Mpumalanga,,101919,1710328253
Oum el Bouaghi,Oum el Bouaghi,35.85,7.15,Algeria,DZ,DZA,Oum el Bouaghi,admin,100821,1012958880
Bukoba,Bukoba,-1.3196,31.8,Tanzania,TZ,TZA,Kagera,admin,100504,1834433264
Kpalimé,Kpalime,6.9004,0.63,Togo,TG,TGO,,,100479,1768253626
Sabha,Sabha,27.0333,14.4333,Libya,LY,LBY,Sabhā,admin,100249,1434044820
Isna,Isna,25.2904,32.5499,Egypt,EG,EGY,Qinā,,100000,1818782058
Arlit,Arlit,18.82,7.33,Niger,NE,NER,Agadez,minor,100000,1562695011
Thika,Thika,-1.0396,37.09,Kenya,KE,KEN,Kiambu,,99322,1404482650
Kwekwe,Kwekwe,-18.9296,29.8,Zimbabwe,ZW,ZWE,Midlands,,99149,1716327793
Kericho,Kericho,-0.3596,35.28,Kenya,KE,KEN,Kericho,admin,98852,1404338562
Kontagora,Kontagora,10.4004,5.4699,Nigeria,NG,NGA,Niger,minor,98754,1566599231
Iseyin,Iseyin,7.97,3.59,Nigeria,NG,NGA,Oyo,minor,98071,1566714777
Mangochi,Mangochi,-14.4596,35.27,Malawi,MW,MWI,Mangochi,admin,97711,1454766726
L'Ariana,L'Ariana,36.8667,10.2,Tunisia,TN,TUN,L’Ariana,admin,97687,1788682546
Bunia,Bunia,1.5604,30.24,Congo (Kinshasa),CD,COD,Ituri,admin,96764,1180006418
Mtwara,Mtwara,-10.2696,40.19,Tanzania,TZ,TZA,Mtwara,admin,96602,1834044142
Kelo,Kelo,9.3171,15.8,Chad,TD,TCD,Tandjilé,,96224,1148149571
Yola,Yola,9.21,12.48,Nigeria,NG,NGA,Adamawa,admin,96006,1566782065
Mekele,Mekele,13.5,39.47,Ethiopia,ET,ETH,Tigray,admin,95856,1231468531
Biu,Biu,10.6204,12.19,Nigeria,NG,NGA,Borno,minor,95005,1566675681
Malindi,Malindi,-3.21,40.1,Kenya,KE,KEN,Kilifi,,94016,1404380224
Samandagi,Samandagi,36.1171,35.9333,Turkey,TR,TUR,Hatay,minor,93638,1792813864
Bafang,Bafang,5.1704,10.18,Cameroon,CM,CMR,Ouest,,93145,1120889812
Ho,Ho,6.6004,0.47,Ghana,GH,GHA,Volta,admin,93044,1288938914
Wukari,Wukari,7.8704,9.78,Nigeria,NG,NGA,Taraba,minor,92933,1566025302
Foumban,Foumban,5.7304,10.9,Cameroon,CM,CMR,Ouest,,92673,1120088650
Kilosa,Kilosa,-6.8396,36.99,Tanzania,TZ,TZA,Morogoro,,91889,1834242035
Cabinda,Cabinda,-5.5596,12.19,Angola,AO,AGO,Cabinda,admin,91791,1024474012
Grahamstown,Grahamstown,-33.2996,26.52,South Africa,ZA,ZAF,Eastern Cape,,91548,1710671857
Kendu Bay,Kendu Bay,-0.3596,34.64,Kenya,KE,KEN,Homa Bay,,91248,1404600696
Mbabane,Mbabane,-26.3167,31.1333,Swaziland,SZ,SWZ,Hhohho,primary,90138,1748811945
Buea,Buea,4.155,9.231,Cameroon,CM,CMR,South-West,admin,90088,1120497849
Francistown,Francistown,-21.17,27.5,Botswana,BW,BWA,Francistown,admin,89979,1072124168
Hosaina,Hosaina,7.5504,37.85,Ethiopia,ET,ETH,YeDebub Bihēroch Bihēreseboch na Hizboch,,89300,1231400775
Tambacounda,Tambacounda,13.7804,-13.68,Senegal,SN,SEN,Tambacounda,admin,89212,1686195160
Sumbawanga,Sumbawanga,-7.9596,31.62,Tanzania,TZ,TZA,Rukwa,admin,89161,1834684278
São Tomé,Sao Tome,0.3334,6.7333,Sao Tome And Principe,ST,STP,São Tomé,primary,88219,1678301324
Madinat ath Thawrah,Madinat ath Thawrah,35.8367,38.5481,Syria,SY,SYR,Ar Raqqah,minor,87880,1760605225
Ebolowa,Ebolowa,2.9,11.15,Cameroon,CM,CMR,Sud,admin,87875,1120924207
Makeni,Makeni,8.8804,-12.05,Sierra Leone,SL,SLE,Northern,admin,87679,1694028641
Gitarama,Gitarama,-2.0696,29.76,Rwanda,RW,RWA,Southern Province,,87613,1646038255
Koidu,Koidu,8.4405,-10.85,Sierra Leone,SL,SLE,Eastern,,87539,1694104584
Koudougou,Koudougou,12.2505,-2.37,Burkina Faso,BF,BFA,Centre-Ouest,admin,87347,1854839075
Ed Dueim,Ed Dueim,13.9904,32.3,Sudan,SD,SDN,White Nile,,87068,1729364292
Lokossa,Lokossa,6.615,1.715,Benin,BJ,BEN,Mono,admin,86971,1204036358
Nouadhibou,Nouadhibou,20.9,-17.056,Mauritania,MR,MRT,Dakhlet Nouadhibou,admin,86738,1478176283
Ruhengeri,Ruhengeri,-1.4996,29.63,Rwanda,RW,RWA,Northern Province,,86685,1646793543
Potiskum,Potiskum,11.7104,11.08,Nigeria,NG,NGA,Yobe,minor,86002,1566461523
Chipata,Chipata,-13.6296,32.64,Zambia,ZM,ZMB,Eastern,admin,85963,1894816262
Keffi,Keffi,8.849,7.8736,Nigeria,NG,NGA,Nasarawa,minor,85911,1566364417
Louga,Louga,15.6104,-16.25,Senegal,SN,SEN,Louga,admin,85075,1686269931
Guider,Guider,9.9304,13.94,Cameroon,CM,CMR,Nord,,84647,1120662630
Banjul,Banjul,13.4539,-16.5917,"Gambia, The",GM,GMB,Banjul,primary,43094,1270723713
Lobamba,Lobamba,-26.4667,31.2,Swaziland,SZ,SWZ,,primary,9782,1748963140
Jamestown,Jamestown,-15.9264,-5.7172,"Saint Helena, Ascension, And Tristan Da Cunha",SH,SHN,Saint Helena,primary,,1654761576
Timbuktu,Timbuktu,16.7666,-3.0166,Mali,ML,MLI,Tombouctou,admin,68872,1466595315
